id,ffc,delivery_program,tender_closed,owner_group,bni,bca,pbc,ept,approval_body,owner_team,stage1,stage2,stage3,cdm,ffc_band,status,conception_duration,completion_duration
F10555,3247158.19,Major Works - Small Scale,2024-03-25T17:00:00Z,Service & Asset Lifecycle,2021-02-01,2024-05-09,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-03-13,2025-06-18,2026-03-16,CDM-21,< = 5,Ongoing,NA,308d 0H 0M 0S
F10556,4466552,Major Works - Framework,2024-04-15T17:00:00Z,Service & Asset Lifecycle,2022-05-19,2024-06-27,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-09-17,2025-12-19,2026-09-17,CDM-21,< = 5,Ongoing,NA,447d 0H 0M 0S
F10558,1155700.34,Major Works - Small Scale,2023-12-15T17:00:00Z,Service & Asset Lifecycle,2022-11-28,2024-04-03,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-11-12,2025-02-20,2025-11-12,CDM-21,< = 5,Ongoing,NA,223d 0H 0M 0S
F10561,30482.700000000008,Contestable,2020-11-20T17:00:00Z,Service & Asset Lifecycle,2020-09-23,2024-09-30,NA,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2025-01-09,2025-04-14,2026-01-12,CDM-21,< = 5,Ongoing,NA,101d 0H 0M 0S
F10562,2925015.11,Major Works - Small Scale,2023-10-27T17:00:00Z,Service & Asset Lifecycle,2022-12-05,2023-11-24,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-10-07,2026-01-16,2026-10-07,CDM-21,< = 5,Ongoing,NA,683d 0H 0M 0S
F10570,1081405.9400000002,Major Works - Small Scale,2020-10-09T17:00:00Z,Service & Asset Lifecycle,2020-09-24,2020-11-30,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-05-25,2022-12-02,2022-12-02,CDM-16,< = 5,Completed,NA,176d 0H 0M 0S
F10571,614725.0399999999,Major Works - Small Scale,2021-04-20T17:00:00Z,Service & Asset Lifecycle,2018-03-21,2021-08-18,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-07-06,2023-10-05,2024-03-04,CDM-16,< = 5,Completed,NA,322d 0H 0M 0S
F10580,3710694.57,Major Works - Small Scale,2024-03-27T17:00:00Z,Service & Asset Lifecycle,2022-10-17,2024-05-06,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-08-29,2025-12-02,2026-08-31,CDM-21,< = 5,Ongoing,NA,480d 0H 0M 0S
F10583,380423.55,Contestable,2020-11-27T17:00:00Z,Service & Asset Lifecycle,2020-10-16,2021-01-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-07-30,2022-06-20,2022-08-31,CDM-16,< = 5,Completed,NA,200d 0H 0M 0S
F10588,1419769.4499999995,Contestable,2021-07-23T17:00:00Z,Service & Asset Lifecycle,2020-12-24,2021-08-19,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-08-16,2022-11-30,2023-08-31,CDM-16,< = 5,Completed,NA,362d 0H 0M 0S
F10589,547606.7100000002,Major Works - Small Scale,2020-12-07T17:00:00Z,Service & Asset Lifecycle,2020-11-27,2021-03-09,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-02-15,2022-05-06,2023-04-05,CDM-16,< = 5,Completed,NA,343d 0H 0M 0S
F10590,1708724.0200000005,Major Works - Small Scale,2021-06-15T17:00:00Z,Service & Asset Lifecycle,2021-02-16,2021-10-04,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-09-02,2024-04-08,2024-04-08,CDM-16,< = 5,Completed,NA,333d 0H 0M 0S
F10593,1610943.4200000002,Major Works - Framework,2021-07-02T17:00:00Z,Service & Asset Lifecycle,2021-04-27,2021-08-19,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-08-05,2022-10-27,2024-03-28,CDM-16,< = 5,Completed,NA,351d 0H 0M 0S
F10594,1040466.01,Major Works - Small Scale,2023-02-17T17:00:00Z,Service & Asset Lifecycle,2022-06-28,2023-09-04,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-04-17,2024-07-19,2025-04-15,CDM-21,< = 5,Completed,NA,226d 0H 0M 0S
F10595,403409.0999999999,Contestable,2021-07-30T17:00:00Z,Service & Asset Lifecycle,2021-02-11,2021-09-07,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-07-28,2022-08-30,2024-03-27,CDM-16,< = 5,Completed,NA,324d 0H 0M 0S
F10597,1720282.9100000004,Major Works - Small Scale,2021-12-06T17:00:00Z,Service & Asset Lifecycle,2021-11-11,2022-01-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-09-02,2024-04-15,2024-04-15,CDM-21,< = 5,Completed,NA,234d 0H 0M 0S
F10606,141855.44000000003,Major Works - Small Scale,2021-11-10T17:00:00Z,Service & Asset Lifecycle,2021-06-09,2022-02-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-05-20,2022-07-21,2023-10-30,CDM-21,< = 5,Completed,NA,94d 0H 0M 0S
F10611,3510532.69,Major Works - Small Scale,2022-09-29T17:00:00Z,Service & Asset Lifecycle,2021-06-21,2022-11-15,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-04-23,2024-07-25,2025-04-23,CDM-21,< = 5,Completed,NA,525d 0H 0M 0S
F10612,832646.58,Major Works - Small Scale,2021-10-29T17:00:00Z,Service & Asset Lifecycle,2021-04-28,2022-01-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-09-29,2023-08-09,2023-11-10,CDM-21,< = 5,Completed,NA,261d 0H 0M 0S
F10614,2293156.2800000003,Major Works - Small Scale,2021-10-08T17:00:00Z,Service & Asset Lifecycle,2021-04-28,2022-03-03,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-02-13,2024-05-16,2025-02-12,CDM-21,< = 5,Completed,NA,712d 0H 0M 0S
F10616,510315.13,Major Works - Framework,NA,Service & Asset Lifecycle,2021-05-27,2021-12-20,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-07-24,2023-10-24,2024-07-23,CDM-16,< = 5,Completed,NA,581d 0H 0M 0S
F10620,1848908.8,Major Works - Small Scale,2024-03-12T17:00:00Z,Service & Asset Lifecycle,2022-02-03,2024-05-07,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-06-10,2025-09-09,2026-06-10,CDM-21,< = 5,Ongoing,NA,399d 0H 0M 0S
F10622,3314666.0300000017,Major Works - Small Scale,2022-03-17T17:00:00Z,Service & Asset Lifecycle,2021-05-03,2022-06-14,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2023-06-01,2023-10-02,2024-05-31,CDM-21,< = 5,Completed,NA,352d 0H 0M 0S
F10625,606398.3999999999,Major Works - Small Scale,2021-12-10T17:00:00Z,Service & Asset Lifecycle,2021-06-16,2022-02-14,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-20,2024-02-20,2024-09-19,CDM-21,< = 5,Completed,NA,583d 0H 0M 0S
F10630,996475.51,Major Works - Small Scale,2024-05-27T17:00:00Z,Service & Asset Lifecycle,2023-08-23,2024-06-27,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-09-30,2025-01-08,2025-09-30,CDM-21,< = 5,Ongoing,NA,95d 0H 0M 0S
F10631,2157604.4400000004,Major Works - Framework,2021-12-13T17:00:00Z,Service & Asset Lifecycle,2021-08-20,2022-03-16,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-05-26,2023-10-24,2024-05-27,CDM-21,< = 5,Completed,NA,436d 0H 0M 0S
F10646,782543.48,Contestable,2022-05-19T17:00:00Z,Service & Asset Lifecycle,2021-08-23,2022-06-24,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-12-12,2025-03-25,2025-12-12,CDM-21,< = 5,Ongoing,NA,902d 0H 0M 0S
F10649,1418297.4099999992,Major Works - Small Scale,2021-10-15T17:00:00Z,Service & Asset Lifecycle,2021-07-14,2021-12-14,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-08-24,2024-03-28,2024-08-23,CDM-16,< = 5,Completed,NA,618d 0H 0M 0S
F10653,1002909.82,Contestable,2023-04-13T17:00:00Z,Service & Asset Lifecycle,2021-12-21,2023-06-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-07-01,2025-10-01,2026-07-01,CDM-21,< = 5,Ongoing,NA,741d 0H 0M 0S
F10654,2120447.62,Major Works - Small Scale,2022-07-28T17:00:00Z,Service & Asset Lifecycle,2022-02-03,2022-09-14,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-01-10,2024-04-16,2025-01-09,CDM-21,< = 5,Completed,NA,483d 0H 0M 0S
F10658,7326534,Major Works - Framework,2024-04-15T17:00:00Z,Service & Asset Lifecycle,2023-10-25,2024-06-28,NA,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2026-12-01,2027-03-15,2027-12-01,CDM-21,5-10,Ongoing,NA,886d 0H 0M 0S
F10662,1414787,Major Works - Small Scale,NA,Service & Asset Lifecycle,2021-09-22,2022-01-28,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-07-12,2023-02-17,2024-05-09,CDM-21,< = 5,Completed,NA,165d 0H 0M 0S
F10670,3736005.39,Major Works - Small Scale,2022-11-02T17:00:00Z,Service & Asset Lifecycle,2022-05-11,2023-01-30,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-10-15,2025-01-23,2025-10-15,CDM-21,< = 5,Ongoing,NA,624d 0H 0M 0S
F10671,983555.38,Major Works - Small Scale,2022-09-01T17:00:00Z,Service & Asset Lifecycle,2022-05-03,2023-04-03,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-08-19,2024-11-20,2025-08-19,CDM-21,< = 5,Ongoing,NA,504d 0H 0M 0S
F10672,1875561.41,Major Works - Small Scale,2023-03-06T17:00:00Z,Service & Asset Lifecycle,2022-05-19,2023-07-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-09-20,2024-12-24,2025-09-22,CDM-21,< = 5,Ongoing,NA,427d 0H 0M 0S
F10690,2363019.46,Major Works - Small Scale,2021-10-13T17:00:00Z,Service & Asset Lifecycle,2021-10-06,2021-11-09,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-12-15,2022-07-29,2023-12-01,CDM-16,< = 5,Completed,NA,36d 0H 0M 0S
F10693,690362.6,Major Works - Small Scale,2022-12-23T17:00:00Z,Service & Asset Lifecycle,2022-07-12,2023-03-24,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-04-30,2024-07-31,2025-04-30,CDM-21,< = 5,Completed,NA,403d 0H 0M 0S
F10694,952773.7000000002,Major Works - Small Scale,2022-05-30T17:00:00Z,Service & Asset Lifecycle,2021-12-21,2022-09-01,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-04-18,2024-07-22,2025-04-16,CDM-21,< = 5,Completed,NA,595d 0H 0M 0S
F10696,1203858.7400000002,Major Works - Small Scale,2022-02-04T17:00:00Z,Service & Asset Lifecycle,2022-01-24,2022-02-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-18,2023-12-20,2024-09-17,CDM-21,< = 5,Completed,NA,574d 0H 0M 0S
F10698,12618346.34,Major Works - Small Scale,2027-09-03T17:00:00Z,Service & Asset Lifecycle,2022-11-30,2027-11-30,2026-02-27,3 Gate Major Infrastructure,MD,Service Enablement Waterways Catchments & Geotechnical,2030-01-15,2030-04-22,2032-01-12,CDM-26,10-20,Ongoing,1185d 0H 0M 0S,777d 0H 0M 0S
F10700,8096052.149999999,Major Works - Small Scale,2027-07-09T17:00:00Z,Service & Asset Lifecycle,2022-11-30,2027-09-17,2026-03-31,3 Gate Major Infrastructure,MD,Service Enablement Waterways Catchments & Geotechnical,2029-10-31,2030-02-12,2031-10-28,CDM-26,5-10,Ongoing,1217d 0H 0M 0S,775d 0H 0M 0S
F10702,1569784.9099999997,Contestable,2022-05-19T17:00:00Z,Service & Asset Lifecycle,2021-12-21,2022-06-08,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-06-19,2024-09-18,2025-06-19,CDM-21,< = 5,Completed,NA,742d 0H 0M 0S
F10708,743897.61,Major Works - Small Scale,2023-02-07T17:00:00Z,Service & Asset Lifecycle,2022-07-12,2023-05-01,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-08-27,2024-11-28,2025-08-27,CDM-21,< = 5,Ongoing,NA,484d 0H 0M 0S
F10709,2149769.89,Major Works - Small Scale,2024-05-28T17:00:00Z,Service & Asset Lifecycle,2024-02-07,2024-07-31,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-09-03,2025-12-05,2026-09-03,CDM-21,< = 5,Ongoing,NA,399d 0H 0M 0S
F10711,3523867.6500000013,Major Works - Small Scale,2022-06-30T17:00:00Z,Service & Asset Lifecycle,2022-03-09,2022-08-22,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2023-12-13,2024-03-25,2024-12-12,CDM-21,< = 5,Completed,NA,478d 0H 0M 0S
F10712,675593.16,Contestable,2024-05-15T17:00:00Z,Service & Asset Lifecycle,2022-04-20,2024-07-25,NA,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2025-07-17,2025-10-17,2026-07-17,CDM-21,< = 5,Ongoing,NA,357d 0H 0M 0S
F10717,1713016.28,Major Works - Small Scale,2023-04-17T17:00:00Z,Service & Asset Lifecycle,2022-08-03,2023-07-24,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-28,2024-08-22,2025-05-28,CDM-21,< = 5,Completed,NA,309d 0H 0M 0S
F10718,624178.74,Major Works - Small Scale,2023-04-12T17:00:00Z,Service & Asset Lifecycle,2022-08-01,2023-07-24,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-27,2024-08-21,2025-05-27,CDM-21,< = 5,Completed,NA,308d 0H 0M 0S
F10723,1172660.44,Major Works - Small Scale,2024-02-23T17:00:00Z,Service & Asset Lifecycle,2023-07-28,2024-04-04,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-09-30,2025-02-20,2025-09-23,CDM-21,< = 5,Ongoing,NA,179d 0H 0M 0S
F10725,6144972.04,Major Works - Small Scale,2024-03-08T17:00:00Z,Service & Asset Lifecycle,2022-11-24,2024-04-23,2023-04-26,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2025-01-29,2025-05-06,2026-01-30,CDM-21,5-10,Ongoing,153d 0H 0M 0S,281d 0H 0M 0S
F10730,23315464.32,Major Works - Framework,2023-11-16T17:00:00Z,Service & Asset Lifecycle,2022-11-04,2024-02-07,2023-07-28,3 Gate Major Infrastructure,MD,Major Capital Delivery,2026-12-18,2027-04-01,2028-12-19,CDM-21,20-50,Ongoing,266d 0H 0M 0S,1045d 0H 0M 0S
F10762,1136288,Contestable,2023-06-19T17:00:00Z,Service & Asset Lifecycle,2023-01-09,2023-07-19,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-07-03,2025-10-03,2026-07-03,CDM-21,< = 5,Ongoing,NA,715d 0H 0M 0S
F10763,7355.050000000004,Major Works - Small Scale,2023-08-24T17:00:00Z,Service & Asset Lifecycle,2023-07-06,2024-04-29,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-18,2025-06-18,2026-03-20,CDM-21,< = 5,Ongoing,NA,295d 0H 0M 0S
F10764,3891826.11,Contestable,2023-06-08T17:00:00Z,Service & Asset Lifecycle,2022-11-29,2023-07-25,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-07-08,2024-10-08,2025-07-08,CDM-21,< = 5,Completed,NA,349d 0H 0M 0S
F10768,1621364.6,Contestable,2023-06-13T17:00:00Z,Service & Asset Lifecycle,2022-11-02,2023-07-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-10-21,2025-01-30,2025-10-21,CDM-21,< = 5,Ongoing,NA,458d 0H 0M 0S
F10769,1466128.81,Contestable,2024-06-05T17:00:00Z,Service & Asset Lifecycle,2022-11-02,2024-08-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-10-30,2026-02-11,2026-10-30,CDM-21,< = 5,Ongoing,NA,441d 0H 0M 0S
F10770,922301.66,Contestable,2023-08-15T17:00:00Z,Service & Asset Lifecycle,2022-11-28,2023-09-05,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-10-28,2026-02-09,2026-10-28,CDM-21,< = 5,Ongoing,NA,784d 0H 0M 0S
F10771,922840.39,Contestable,2023-08-18T17:00:00Z,Service & Asset Lifecycle,2022-11-28,2023-09-06,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-27,2025-06-04,2026-03-02,CDM-21,< = 5,Ongoing,NA,540d 0H 0M 0S
F10772,1534542.85,Contestable,2023-04-27T17:00:00Z,Service & Asset Lifecycle,2022-11-22,2023-07-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-01-13,2025-04-16,2026-01-14,CDM-21,< = 5,Ongoing,NA,542d 0H 0M 0S
F10776,4280564.1400000015,Major Works - Small Scale,2023-05-05T17:00:00Z,Service & Asset Lifecycle,2023-02-27,2023-05-30,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-04-04,2024-07-08,2025-04-02,CDM-21,< = 5,Completed,NA,310d 0H 0M 0S
F10777,1753903.29,Contestable,2023-11-17T17:00:00Z,Service & Asset Lifecycle,2023-09-11,2023-12-20,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-01-10,2025-04-15,2026-01-13,CDM-21,< = 5,Ongoing,NA,387d 0H 0M 0S
F10781,5059483.46,Major Works - Small Scale,2024-02-21T17:00:00Z,Service & Asset Lifecycle,2023-08-24,2024-03-12,2023-10-23,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2024-11-06,2025-02-12,2025-11-06,CDM-21,5-10,Ongoing,60d 0H 0M 0S,239d 0H 0M 0S
F10787,5793441.3,Major Works - Open Market,2023-12-14T17:00:00Z,Service & Asset Lifecycle,2023-04-27,2024-06-13,NA,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2025-08-21,2025-11-24,2027-08-18,CDM-21,5-10,Ongoing,NA,434d 0H 0M 0S
F10791,284097.23,Contestable,2023-10-02T17:00:00Z,Service & Asset Lifecycle,2023-06-15,2023-10-26,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-10,2024-10-10,2026-07-10,CDM-21,< = 5,Completed,NA,258d 0H 0M 0S
F10793,4732515.3,Major Works - Small Scale,2023-11-22T17:00:00Z,Service & Asset Lifecycle,2023-09-28,2023-12-22,2023-10-17,3 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-10-07,2025-01-13,2025-10-07,CDM-21,< = 5,Ongoing,19d 0H 0M 0S,290d 0H 0M 0S
F10794,2068468.27,Major Works - Small Scale,2024-05-16T17:00:00Z,Service & Asset Lifecycle,2023-09-22,2024-07-26,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-03-28,2025-07-03,2026-03-31,CDM-21,< = 5,Ongoing,NA,245d 0H 0M 0S
F10804,287723.37,Contestable,2023-09-11T17:00:00Z,Service & Asset Lifecycle,2023-06-16,2023-12-22,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-26,2024-10-22,2026-07-24,CDM-21,< = 5,Completed,NA,217d 0H 0M 0S
F10815,4341885.380000001,Major Works - Small Scale,2024-04-15T17:00:00Z,Service & Asset Lifecycle,2023-11-03,2024-06-28,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2026-01-29,2026-05-05,2027-01-29,CDM-21,< = 5,Ongoing,NA,580d 0H 0M 0S
F10825,358958.36,Major Works - Small Scale,2023-12-15T17:00:00Z,Service & Asset Lifecycle,2023-10-11,2024-03-19,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-03,2024-10-03,2025-07-03,CDM-21,< = 5,Completed,NA,106d 0H 0M 0S
F10832,480813,Major Works - Open Market,2024-01-24T17:00:00Z,Service & Asset Lifecycle,2023-12-07,2024-03-13,NA,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2024-06-17,2024-09-16,2025-06-17,CDM-21,< = 5,Completed,NA,96d 0H 0M 0S
F10834,1171635.8,Major Works - Small Scale,2024-04-11T17:00:00Z,Service & Asset Lifecycle,2023-11-15,2024-07-05,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-10-04,2025-01-14,2025-10-06,CDM-21,< = 5,Ongoing,NA,91d 0H 0M 0S
F10852,9135745.04,Major Works - Small Scale,2026-04-23T17:00:00Z,Service & Asset Lifecycle,2024-02-21,2026-07-03,2025-12-10,3 Gate Major Infrastructure,MD,Service Enablement Waterways Catchments & Geotechnical,2028-03-08,2028-06-14,2029-03-08,CDM-21,5-10,Ongoing,658d 0H 0M 0S,614d 0H 0M 0S
F10860,703701.87,Major Works - Framework,2024-01-22T17:00:00Z,Service & Asset Lifecycle,2023-12-21,2024-03-26,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-08-01,2024-11-01,2025-09-19,CDM-21,< = 5,Completed,NA,128d 0H 0M 0S
F10866,984019,Contestable,2024-03-01T17:00:00Z,Service & Asset Lifecycle,2024-02-15,2024-04-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-11-28,2025-03-11,2025-11-28,CDM-21,< = 5,Ongoing,NA,231d 0H 0M 0S
G10205,2051967.0299999996,Major Works - Framework,2019-06-03T17:00:00Z,Service & Asset Lifecycle,2018-06-04,2019-11-06,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-04,2024-10-04,2025-06-25,CDM-16,< = 5,Completed,NA,1702d 0H 0M 0S
G10234,13162384.27,Major Works - Open Market,2023-04-03T17:00:00Z,Service & Asset Lifecycle,2021-02-10,2023-07-28,2021-05-13,3 Gate Major Infrastructure,MD,Major Capital Delivery,2028-05-29,2028-08-29,2030-06-04,CDM-21,10-20,Ongoing,92d 0H 0M 0S,1767d 0H 0M 0S
G10644,194863.61,Major Works - Small Scale,NA,Service & Asset Lifecycle,NA,2023-02-14,NA,Minor Procurement,People Leadership Group,Major Capital Delivery,2023-09-28,NA,NA,CDM-21,< = 5,Completed,NA,226d 0H 0M 0S
G10706,471042.54,Major Works - Small Scale,2024-03-01T17:00:00Z,Service & Asset Lifecycle,2023-11-13,2024-04-30,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-08-12,2024-11-12,2025-08-11,CDM-21,< = 5,Completed,NA,104d 0H 0M 0S
H10295,249635.56,Contestable,2019-05-13T17:00:00Z,Service & Asset Lifecycle,2019-03-15,2019-07-09,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-09-04,2020-01-15,2020-09-04,CDM-16,< = 5,Completed,NA,57d 0H 0M 0S
H10317,417918.2099999999,Contestable,2020-05-04T17:00:00Z,Service & Asset Lifecycle,2020-06-05,2020-06-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-05-16,2024-08-09,2025-05-19,CDM-16,< = 5,Completed,NA,1435d 0H 0M 0S
H10382,236307.87,Contestable,2020-05-04T17:00:00Z,Service & Asset Lifecycle,2020-06-05,2020-06-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-28,2025-05-29,2026-03-04,CDM-16,< = 5,Ongoing,NA,1719d 0H 0M 0S
H10400,370370.2,Contestable,2019-05-17T17:00:00Z,Service & Asset Lifecycle,2019-03-29,2019-06-26,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-11-26,2020-04-07,2021-04-16,CDM-16,< = 5,Completed,NA,153d 0H 0M 0S
H10612,471176.8000000001,Contestable,2020-04-01T17:00:00Z,Service & Asset Lifecycle,2019-03-19,2020-04-22,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-25,2024-10-18,2025-08-14,CDM-16,< = 5,Completed,NA,1555d 0H 0M 0S
H10615,469459.44000000024,Contestable,2020-02-28T17:00:00Z,Service & Asset Lifecycle,2019-04-12,2020-04-22,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-07-31,2024-10-24,2025-08-20,CDM-16,< = 5,Completed,NA,1561d 0H 0M 0S
H10620,1670834.0499999998,Contestable,2020-11-13T17:00:00Z,Service & Asset Lifecycle,2019-03-12,2021-03-03,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-06-30,2022-06-30,2024-03-28,CDM-16,< = 5,Completed,NA,484d 0H 0M 0S
H10635,968426.94,Contestable,2020-10-22T17:00:00Z,Service & Asset Lifecycle,2019-04-02,2021-03-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-05-18,2023-10-09,2024-05-17,CDM-16,< = 5,Completed,NA,794d 0H 0M 0S
H10663,361817.87,Contestable,2021-02-18T17:00:00Z,Service & Asset Lifecycle,2019-03-19,2021-06-29,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-04-09,2024-07-11,2025-04-07,CDM-16,< = 5,Completed,NA,1015d 0H 0M 0S
H10669,809068.96,Contestable,2020-04-20T17:00:00Z,Service & Asset Lifecycle,2019-04-02,2020-06-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-12-09,2021-03-09,2021-12-09,CDM-16,< = 5,Completed,NA,177d 0H 0M 0S
H10813,3599871.5300000003,Major Works - Small Scale,2022-02-28T17:00:00Z,Service & Asset Lifecycle,2021-01-22,2022-07-26,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-07-05,2024-10-07,2025-07-07,CDM-21,< = 5,Completed,NA,710d 0H 0M 0S
H10850,451470.11,Contestable,2020-04-29T17:00:00Z,Service & Asset Lifecycle,2019-04-16,2020-09-04,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-05-31,2022-08-24,2023-10-03,CDM-16,< = 5,Completed,NA,634d 0H 0M 0S
H10897,2192198.9499999993,Major Works - Small Scale,2021-08-27T17:00:00Z,Service & Asset Lifecycle,2020-12-24,2021-10-04,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-11-15,2023-03-28,2024-03-28,CDM-16,< = 5,Completed,NA,407d 0H 0M 0S
H10908,232303.35,Contestable,2020-01-16T17:00:00Z,Service & Asset Lifecycle,2019-08-06,2020-06-22,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-04,2025-12-04,2026-02-09,CDM-16,< = 5,Ongoing,NA,1688d 0H 0M 0S
H10922,937763.1899999996,Contestable,2020-06-23T17:00:00Z,Service & Asset Lifecycle,2019-08-29,2020-07-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-07-15,2022-07-15,2024-01-31,CDM-16,< = 5,Completed,NA,724d 0H 0M 0S
